timestamp_utc,side,level,price,size,outcome
2025-08-13 12:11:09.948000+00:00,bid,1,0.01,116693.77,NO
2025-08-13 12:11:09.948000+00:00,bid,2,0.02,8000.11,NO
2025-08-13 12:11:09.948000+00:00,bid,3,0.03,2004.92,NO
2025-08-13 12:11:09.948000+00:00,bid,4,0.04,300,NO
2025-08-13 12:11:09.948000+00:00,bid,5,0.05,160,NO
2025-08-13 12:11:09.948000+00:00,bid,6,0.06,9200,NO
2025-08-13 12:11:09.948000+00:00,bid,7,0.07,80,NO
2025-08-13 12:11:09.948000+00:00,bid,8,0.08,1100,NO
2025-08-13 12:11:09.948000+00:00,bid,9,0.09,1040,NO
2025-08-13 12:11:09.948000+00:00,bid,10,0.1,122.34,NO
2025-08-13 12:11:09.948000+00:00,bid,11,0.11,120,NO
2025-08-13 12:11:09.948000+00:00,bid,12,0.12,1046.35,NO
2025-08-13 12:11:09.948000+00:00,bid,13,0.13,4769,NO
2025-08-13 12:11:09.948000+00:00,bid,14,0.14,525.03,NO
2025-08-13 12:11:09.948000+00:00,bid,15,0.15,4271.43,NO
2025-08-13 12:11:09.948000+00:00,bid,16,0.16,500,NO
2025-08-13 12:11:09.948000+00:00,bid,17,0.17,1048.07,NO
2025-08-13 12:11:09.948000+00:00,bid,18,0.18,2905.03,NO
2025-08-13 12:11:09.948000+00:00,bid,19,0.19,328.76,NO
2025-08-13 12:11:09.948000+00:00,bid,20,0.2,601.7,NO
2025-08-13 12:11:09.948000+00:00,ask,1,0.99,242072,NO
2025-08-13 12:11:09.948000+00:00,ask,2,0.98,34768,NO
2025-08-13 12:11:09.948000+00:00,ask,3,0.97,1000,NO
2025-08-13 12:11:09.948000+00:00,ask,4,0.96,9092,NO
2025-08-13 12:11:09.948000+00:00,ask,5,0.94,200,NO
2025-08-13 12:11:09.948000+00:00,ask,6,0.93,500,NO
2025-08-13 12:11:09.948000+00:00,ask,7,0.92,2148,NO
2025-08-13 12:11:09.948000+00:00,ask,8,0.91,2666,NO
2025-08-13 12:11:09.948000+00:00,ask,9,0.9,100,NO
2025-08-13 12:11:09.948000+00:00,ask,10,0.89,500,NO
2025-08-13 12:11:09.948000+00:00,ask,11,0.88,100,NO
2025-08-13 12:11:09.948000+00:00,ask,12,0.85,3105,NO
2025-08-13 12:11:09.948000+00:00,ask,13,0.84,512,NO
2025-08-13 12:11:09.948000+00:00,ask,14,0.83,1410,NO
2025-08-13 12:11:09.948000+00:00,ask,15,0.82,776,NO
2025-08-13 12:11:09.948000+00:00,ask,16,0.7,10,NO
2025-08-13 12:11:09.948000+00:00,ask,17,0.68,128,NO
2025-08-13 12:11:09.948000+00:00,ask,18,0.65,10,NO
2025-08-13 12:11:09.948000+00:00,ask,19,0.6,5,NO
2025-08-13 12:11:09.948000+00:00,ask,20,0.55,5,NO
